interactionId,sentence,entities,interaction,relationship
BioInfer_d125,"Calculated solution molecular masses are 213 kDa for alpha-catenin, 73 kDa for beta-catenin, and 186 kDa for both.","[('T1', 'Gene/protein/RNA', 'alpha-catenin', (53, 66)), ('T2', 'Gene/protein/RNA', 'beta-catenin', (79, 91))]",{},0
BioInfer_d682,"The recombinant material is similar to authentic profilin from Acanthamoeba-based on fluorescence monitored urea denaturation, circular dichroism, actin-nucleotide exchange rate and the Kd for rabbit skeletal actin.","[('T1', 'Individual_protein', 'skeletal actin', (200, 214)), ('T3', 'Individual_protein', 'profilin', (49, 57)), ('T2', 'Gene/protein/RNA', 'actin', (147, 152))]","{'R1': ('T1', 'T3')}",1
BioInfer_d544,Smooth muscle alpha actin and myosin heavy chain expression in the vascular smooth muscle cells surrounding human endometrial arterioles.,"[('T1', 'Gene/protein/RNA', 'Smooth muscle alpha actin', (0, 25)), ('T2', 'Gene/protein/RNA', 'Smooth muscle', (0, 13))]",{},0
BioInfer_d595,The common denominator is impaired beta-catenin association with either E-cadherin (PaTuII) or alpha-catenin (BxPc3 and T3M4).,"[('T1', 'Individual_protein', 'beta-catenin', (35, 47)), ('T3', 'Individual_protein', 'alpha-catenin', (95, 108)), ('T2', 'Individual_protein', 'E-cadherin', (72, 82))]","{'R1': ('T1', 'T2'), 'R2': ('T1', 'T3')}",1
BioInfer_d232,"Genetic dissection of Drosophila myofibril formation: effects of actin and myosin heavy chain null alleles.
We find that heterozygotes for actin (Act88F) or myosin heavy chain (Mhc36B) null alleles have complex myofibrillar defects, whereas Mhc36B-/+; Act88F-/+ double heterozygotes have nearly normal myofibrils.","[('T6', 'Individual_protein', 'Act88F', (146, 152)), ('T7', 'Individual_protein', 'actin', (139, 144)), ('T4', 'Individual_protein', 'Mhc36B', (177, 183)), ('T5', 'Individual_protein', 'myosin heavy chain', (157, 175)), ('T8', 'Gene/protein/RNA', 'Mhc36B', (241, 247)), ('T1', 'Gene/protein/RNA', 'actin', (65, 70)), ('T3', 'Gene/protein/RNA', 'Act88F', (252, 258)), ('T2', 'Gene/protein/RNA', 'myosin heavy chain', (75, 93))]",{},0
BioInfer_d653,"The nucleotide sequences of nucleocapsid (N), phosphoprotein (P), matrix (M), fusion (F), and large protein (L) genes were partly determined for 19 wild strains of measles virus (MV) isolated over the past 10 years in Japan (nucleotide position N: 1301-1700, P: 1751-2190, M: 3571-4057, F: 6621-7210, L: 10381-11133) and also for a MV strain obtained from a patient with subacute sclerosing panencephalitis (SSPE) who had natural measles in 1980.","[('T1', 'Gene/protein/RNA', 'F', (287, 288)), ('T3', 'Gene/protein/RNA', 'L', (301, 302)), ('T2', 'Gene/protein/RNA', 'P', (259, 260)), ('T6', 'Gene', 'fusion', (78, 84)), ('T7', 'Gene', 'P', (62, 63)), ('T4', 'Gene', 'L', (109, 110)), ('T5', 'Gene/protein/RNA', 'M', (273, 274)), ('T10', 'Gene', 'nucleocapsid', (28, 40)), ('T11', 'Gene', 'matrix', (66, 72)), ('T12', 'Gene', 'phosphoprotein', (46, 60)), ('T8', 'Gene', 'N', (42, 43)), ('T13', 'Gene', 'large protein', (94, 107)), ('T14', 'Gene', 'M', (74, 75)), ('T9', 'Gene', 'F', (86, 87)), ('T15', 'Gene/protein/RNA', 'N', (245, 246))]",{},0
BioInfer_d28,"After 24 or 48 hours of shear, staining for VE-cadherin, alpha-catenin, and beta-catenin was intense and peripheral, forming a band of ""dashes"" (adherens plaques) that colocalized with the ends of stress fibers that inserted along the lateral membranes of cells.
Cells were fixed and stained with antibodies to vascular endothelial (VE) cadherin, alpha-catenin, beta-catenin, or plakoglobin.","[('T6', 'Gene/protein/RNA', 'alpha-catenin', (347, 360)), ('T7', 'Gene/protein/RNA', 'plakoglobin', (379, 390)), ('T4', 'Gene/protein/RNA', 'vascular endothelial', (311, 331)), ('T5', 'Gene/protein/RNA', 'beta-catenin', (362, 374)), ('T1', 'Gene/protein/RNA', 'beta-catenin', (76, 88)), ('T3', 'Gene/protein/RNA', 'alpha-catenin', (57, 70)), ('T2', 'Gene/protein/RNA', 'VE-cadherin', (44, 55))]",{},0
BioInfer_d159,"CV-1 cells were transfected with cloned genes from wild-type HPIV-3 encoding the large protein (L), phosphoprotein (P), and nucleocapsid protein (NP), alone or together, for the expression of biologically active proteins.","[('T6', 'Individual_protein', 'phosphoprotein', (100, 114)), ('T4', 'Individual_protein', 'large protein', (81, 94)), ('T5', 'Individual_protein', 'P', (116, 117)), ('T1', 'Individual_protein', 'L', (96, 97)), ('T3', 'Individual_protein', 'nucleocapsid protein', (124, 144)), ('T2', 'Individual_protein', 'NP', (146, 148))]",{},0
BioInfer_d538,"Significantly, those actin mutants exhibiting the most severe phenotypes in all three processes have altered residues that cluster to a small region of the actin crystal structure previously defined as the fimbrin (Sac6p)-binding site.","[('T4', 'Gene/protein/RNA', 'actin', (21, 26)), ('T1', 'Individual_protein', 'actin', (156, 161)), ('T3', 'Individual_protein', 'Sac6p', (215, 220)), ('T2', 'Individual_protein', 'fimbrin', (206, 213))]","{'R1': ('T1', 'T2'), 'R2': ('T1', 'T3')}",1
BioInfer_d188,Electrical stimulation of cardiocyte contraction did not enhance alpha-cardiac actin or myosin heavy chain (alpha+beta) mRNA transcript levels relative to 28S rRNA during the period of rapid growth that occurred over the first 48 hours.,"[('T4', 'Gene/protein/RNA', '28S rRNA', (155, 163)), ('T1', 'Gene/protein/RNA', 'myosin heavy chain', (88, 106)), ('T3', 'Gene/protein/RNA', 'alpha-cardiac actin', (65, 84)), ('T2', 'Gene/protein/RNA', 'myosin heavy chain', (88, 106))]",{},0
